d,k,n_variables,instance_type,method,n_instances,feasible_solution_count,no_incumbent_count,optimal_found_count,optimal_found_pct,beam_width,mean_absolute_gap,max_absolute_gap,mean_relative_error_pct,max_relative_error_pct,mean_time_s,std_time_s,mean_dynamic_programming_time_s
6,2,250,random,Heuristic,50,50,0,0,0.0,21,264.41486656899315,647.7461374224695,1.0135952769521805,2.455702939849024,0.050417914390563964,0.0014436709876436522,0.0625778341293335
6,2,250,random,Matrix method,50,50,0,23,46.0,,0.44960689237792395,2.0404559208764113,0.0017383904011897006,0.009035797788005758,0.046321377754211426,0.0015843780985757407,0.0625778341293335
6,2,250,random,SCIP,50,50,0,0,0.0,,25174.73059988566,30117.81851268713,96.19177721367785,99.00428706377397,0.048569788379973035,0.00161009748436178,0.0625778341293335
6,2,250,random,Tabu search,50,50,0,0,0.0,,465.75370297651693,988.203509997049,1.8109416939616176,4.232299762470645,0.04680779645997973,0.0015878315258993478,0.0625778341293335
6,2,500,random,Heuristic,50,50,0,0,0.0,17,943.924414746874,1506.2398913494326,1.8173570792965306,3.0914873129805893,0.09478491306304931,0.004915176223157535,0.12755621433258058
6,2,500,random,Matrix method,50,50,0,10,20.0,,0.8064201587814023,3.447519055698649,0.00158090164209444,0.006997419664244452,0.09219613075256347,0.009657642719830167,0.12755621433258058
6,2,500,random,SCIP,50,50,0,0,0.0,,50315.90884944857,56442.142867264345,96.51528980802027,98.87717328878819,0.0975166232198535,0.009479317204501833,0.12755621433258058
6,2,500,random,Tabu search,50,50,0,0,0.0,,1920.7903309817682,3248.4433986302683,3.7085654167298503,6.667278971614528,0.0933154800599732,0.009830846417768406,0.12755621433258058
6,3,250,random,Heuristic,50,50,0,0,0.0,24,1367.8402917727228,2348.7331900183744,4.568373691471407,7.839443219088081,0.06723413467407227,0.004084264027824528,0.3874340581893921
6,3,250,random,Matrix method,50,50,0,22,44.0,,0.6102681307959574,5.029387059890723,0.0020346204379888488,0.015042575569926709,0.0681105089187622,0.010155148296980833,0.3874340581893921
