n,dits,k,instance_index,seed,matrix_cost,matrix_time,tau,target_reached,time_to_target,final_cost,target_difference,time_ratio,ratio_lower_bound,status,nodes,best_bound,gap
500,2,4,30,30,-2707.6584949338526,0.08457756042480469,1728.5832349065518,True,2.1492499610000095,-2707.6584949338526,0.0,25.411586125268318,,optimal,1,-2707.6584949338558,0.0
500,2,4,31,31,-2710.9121892864164,0.08073949813842773,1728.5832349065518,True,1.4226185559999749,-2710.9121892864164,0.0,17.61985879031472,,optimal,1,-2710.912189286415,0.0
500,2,4,32,32,-2843.784444320554,0.09171724319458008,1728.5832349065518,True,1.3803928579999933,-2843.8336043516174,-0.04916003106336575,15.050527141024732,,optimal,1,-2843.833604351616,0.0
500,2,4,33,33,-2994.676982866624,0.07903838157653809,1728.5832349065518,True,1.293364739000026,-2994.676982866624,0.0,16.36375534521257,,optimal,1,-2994.6769828666256,0.0
500,2,4,34,34,-2644.105215328367,0.08306765556335449,1728.5832349065518,True,1.6408988489999956,-2644.105215328367,0.0,19.753763819041527,,optimal,1,-2644.105215328371,0.0
500,2,4,35,35,-3220.296377866149,0.08489012718200684,1728.5832349065518,True,1.163953399000036,-3220.296377866149,0.0,13.711292910475759,,optimal,1,-3220.296377866149,0.0
500,2,4,36,36,-2847.841174778751,0.08078241348266602,1728.5832349065518,True,1.6387339179999572,-2847.841174778751,0.0,20.285775670116497,,optimal,1,-2847.8411747787504,0.0
500,2,4,37,37,-2891.866144605169,0.08580780029296875,1728.5832349065518,True,1.4639341739999736,-2891.866144605169,0.0,17.060618836536367,,optimal,1,-2891.86614460517,0.0
500,2,4,38,38,-2538.8518306988794,0.08895230293273926,1728.5832349065518,True,1.498617548000027,-2538.8604466218403,-0.008615922960871103,16.847428324966444,,optimal,1,-2538.8604466218417,0.0
500,2,4,39,39,-3350.3246528730187,0.0797574520111084,1728.5832349065518,True,1.633976232000009,-3350.3246528730187,0.0,20.4868158497896,,optimal,1,-3350.324652873018,0.0
500,2,4,40,40,-2813.4600612830163,0.08026432991027832,1728.5832349065518,True,1.45578014299997,-2813.4600612830163,0.0,18.13732382276512,,optimal,1,-2813.4600612830136,0.0
500,2,4,41,41,-2839.8861772399605,0.08886909484863281,1728.5832349065518,True,1.3490161219999663,-2839.8861772399605,0.0,15.179811657783752,,optimal,1,-2839.8861772399623,0.0
500,2,4,42,42,-2696.15554825529,0.07892894744873047,1728.5832349065518,True,1.5338173100000176,-2696.15554825529,0.0,19.432886913845298,,optimal,1,-2696.1555482552913,0.0
500,2,4,43,43,-2924.014038060733,0.07998991012573242,1728.5832349065518,True,1.0757154279999668,-2924.014038060733,0.0,13.448138975392018,,optimal,1,-2924.014038060728,0.0
500,2,4,44,44,-3065.094711284657,0.07971906661987305,1728.5832349065518,True,1.6161556460000384,-3065.094711284657,0.0,20.273138090118447,,optimal,1,-3065.0947112846566,0.0
500,2,4,45,45,-2882.4269806424786,0.08135557174682617,1728.5832349065518,True,1.762826718000042,-2882.4269806424786,0.0,21.66817441202253,,optimal,1,-2882.4269806424804,0.0
500,2,4,46,46,-3108.10512729296,0.07582497596740723,1728.5832349065518,True,1.5512347220000038,-3108.1249783631847,-0.019851070224831346,20.458097113895427,,optimal,1,-3108.124978363181,0.0
500,2,4,47,47,-2727.961227960911,0.08840608596801758,1728.5832349065518,True,1.1915894510000271,-2727.961227960911,0.0,13.478590732216164,,optimal,1,-2727.961227960919,0.0
500,2,4,48,48,-2510.5189710283785,0.07778072357177734,1728.5832349065518,True,1.5207228869999767,-2510.5199052374146,-0.0009342090361315059,19.551410904484943,,optimal,1,-2510.5199052374146,0.0
500,2,4,49,49,-3219.602477131321,0.08321046829223633,1728.5832349065518,True,1.1308496539999737,-3219.65777710302,-0.05529997169924172,13.590233022465561,,optimal,1,-3219.657777103023,0.0
500,4,4,0,0,-22793.104279387557,0.18341422080993652,192.06480387850576,False,,-22650.529207911182,142.57507147637443,,327.128396778869,timelimit,1618,-23563.06357474181,0.04028755170995783
500,4,4,1,1,-24239.418170474943,0.19251680374145508,192.06480387850576,True,36.65995917700002,-24239.418170474943,0.0,190.4247237879212,,userinterrupt,95,-24525.93034952453,0.01182007161509707
500,4,4,2,2,-23047.348618607015,0.18541502952575684,192.06480387850576,False,,-11611.050822845018,11436.297795761997,,323.59836283749115,timelimit,1,-23825.283234855677,1.0519489233462713
500,4,4,3,3,-23776.05379941464,0.19923877716064453,192.06480387850576,False,,-11009.13109527285,12766.922704141789,,301.14619681500307,timelimit,1,-24494.560969707563,1.2249313554114298
500,4,4,4,4,-22633.57440546019,0.18180274963378906,192.06480387850576,False,,-20514.280951665325,2119.293453794864,,330.02801179223013,timelimit,34,-23548.384414212513,0.1479020182726926
500,4,4,5,5,-24566.847104656696,0.20464181900024414,192.06480387850576,False,,-11774.089554158822,12792.757550497874,,293.1952046415714,timelimit,1,-25586.962115100952,1.1731584423071746
500,4,4,6,6,-24700.7158016513,0.1972026824951172,192.06480387850576,False,,-11125.137146603225,13575.578655048073,,304.2554961263553,timelimit,378,-25571.546257372956,1.4516823032946085
500,4,4,7,7,-26631.291474347334,0.19276142120361328,192.06480387850576,False,,-22978.22367813624,3653.067796211093,,311.2656029684601,timelimit,629,-27052.939252572025,0.17732944162750522
500,4,4,8,8,-25893.81123098631,0.21874618530273438,192.06480387850576,False,,-25886.958718441136,6.85251254517425,,274.2904975323928,timelimit,1278,-25987.15175694849,0.003870405897796209
500,4,4,9,9,-23929.641856293583,0.18589043617248535,192.06480387850576,False,,-23875.224020284677,54.417836008906306,,322.77077420124385,timelimit,295,-24573.039935556888,0.02922761749499573
500,4,4,10,10,-23080.95715183719,0.20566678047180176,192.06480387850576,True,56.378685088,-23080.95715183719,0.0,274.12635603409893,,userinterrupt,1006,-23171.337332806626,0.003915773807907041
500,4,4,11,11,-23834.94118192387,0.21709251403808594,192.06480387850576,False,,-23800.601694702473,34.339487221397576,,276.37986627891655,timelimit,681,-24367.197252295835,0.02380593395852681
500,4,4,12,12,-23820.746976591967,0.20128917694091797,192.06480387850576,False,,-23780.97950227271,39.767474319258326,,298.0786195852502,timelimit,990,-24181.648061361808,0.016848255255521853
500,4,4,13,13,-23796.34031069135,0.20917129516601562,192.06480387850576,False,,-22309.97011327539,1486.3701974159594,,286.8462422263965,timelimit,24,-24455.69753623539,0.09617797043550934
500,4,4,14,14,-24145.501472747048,0.199005126953125,192.06480387850576,False,,-11517.99385237077,12627.507620376278,,301.49976997393037,timelimit,1,-24838.35533427614,1.1564827740521502
500,4,4,15,15,-23419.112033434783,0.20844435691833496,192.06480387850576,False,,-23362.212284540314,56.89974889446967,,287.8466027435178,timelimit,375,-24029.778590786336,0.028574596617824834
500,4,4,16,16,-22979.69360784032,0.1994154453277588,192.06480387850576,False,,-9773.912823937337,13205.780783902983,,300.8794023019838,timelimit,1,-23808.83519328127,1.4359573921071747
500,4,4,17,17,-23219.062660597545,0.41121649742126465,192.06480387850576,False,,-23080.386560801886,138.67609979565896,,145.90854300899773,timelimit,1252,-23743.76594698879,0.02874212743327578
500,4,4,18,18,-24366.46293437058,0.18455219268798828,192.06480387850576,False,,-24307.953151712634,58.509782657944015,,325.1112822129322,timelimit,428,-24733.064671248983,0.01748855516411645
